	Model 1	Model 2	Model 3	Model 4	Model 5	Model 6
(Intercept)	-42.613***	-49.061***	-41.216***	-80.685***	-0.038***	-0.001
	(1.756)	(2.606)	(1.251)	(1.898)	(0.010)	(0.014)
avg5.tt.nid	0.022	-0.026	0.030*	0.104***		
	(0.014)	(0.023)	(0.015)	(0.023)		
EVER6FSM	-8.115***	3.036***	-6.854***	3.155**		
	(0.634)	(0.814)	(0.648)	(0.983)		
EAL	6.400***	8.768***	7.706***	10.757***		
	(0.380)	(0.464)	(0.468)	(0.711)		
SEN	6.749*	2.954	4.496	-14.396**		
	(3.363)	(4.620)	(3.462)	(5.252)		
GIRLS	2.161***	1.909***	1.711***	-0.668		
	(0.337)	(0.503)	(0.318)	(0.482)		
TOTPUPS	0.001***	-0.000	0.002***	-0.000		
	(0.000)	(0.000)	(0.000)	(0.000)		
KS2APS	3.359***	3.240***	3.280***	4.405***		
	(0.058)	(0.089)	(0.044)	(0.066)		
IDACI	-0.951	0.972	-3.541***	6.711***		
	(0.545)	(0.735)	(0.560)	(0.849)		
London	1.340***	2.238***	1.319***	1.426***	0.197***	0.266***
	(0.195)	(0.256)	(0.254)	(0.385)	(0.038)	(0.049)
avg5.tt.nid.z					0.021*	0.024
					(0.010)	(0.014)
EVER6FSM.z					-0.167***	0.027
					(0.016)	(0.020)
EAL.z					0.233***	0.321***
					(0.014)	(0.018)
SEN.z					0.013	-0.010
					(0.010)	(0.013)
GIRLS.z					0.045***	-0.005
					(0.008)	(0.012)
TOTPUPS.z					0.088***	-0.040**
					(0.010)	(0.013)
KS2APS.z					0.725***	0.786***
					(0.010)	(0.016)
IDACI.z					-0.068***	0.100***
					(0.011)	(0.014)
R-squared	0.769	0.503	0.891	0.835	0.891	0.595
adj. R-squared	0.768	0.502	0.890	0.835	0.890	0.594
sigma	39.461	29.955	0.051	0.077	0.008	0.012
F	1092.827	332.939	2681.213	1666.402	2681.213	482.764
p	0.000	0.000	0.000	0.000	0.000	0.000
Log-likelihood	-7566.581	-8849.763	-7907.564	-9144.297	-2270.448	-3159.933
Deviance	4606185.869	2654253.346	7.707	17.733	0.173	0.407
AIC	15155.163	17721.526	15837.128	18310.595	4562.896	6341.867
BIC	15221.115	17787.478	15903.080	18376.547	4628.848	6407.819
N	2968	2968	2968	2968	2968	2968